train_loss,valid_loss,train_accuracy,valid_accuracy,epoch
1.8135138876342773,2.151707652282715,"tensor(0.1405, device='cuda:0', dtype=torch.float64)",0.2195,1
1.6813018096923829,1.9482931594848634,"tensor(0.2048, device='cuda:0', dtype=torch.float64)",0.2963,2
1.5643150967407227,1.8032557746887208,"tensor(0.2441, device='cuda:0', dtype=torch.float64)",0.3313,3
1.48663593460083,1.7249168582916259,"tensor(0.2790, device='cuda:0', dtype=torch.float64)",0.3652,4
1.4361296026611328,1.6587540668487548,"tensor(0.3066, device='cuda:0', dtype=torch.float64)",0.393,5
1.3945832695007325,1.6007941877365113,"tensor(0.3330, device='cuda:0', dtype=torch.float64)",0.4196,6
1.3543450567626953,1.547779700088501,"tensor(0.3553, device='cuda:0', dtype=torch.float64)",0.4376,7
1.3166487336730957,1.5057242082595825,"tensor(0.3753, device='cuda:0', dtype=torch.float64)",0.4491,8
1.2840115420532228,1.4991431074142456,"tensor(0.3967, device='cuda:0', dtype=torch.float64)",0.4492,9
1.2602285989379882,1.4318997888565064,"tensor(0.4104, device='cuda:0', dtype=torch.float64)",0.4744,10
1.2433864167785644,1.4288064693450928,"tensor(0.4202, device='cuda:0', dtype=torch.float64)",0.4739,11
1.221441060028076,1.3898754600524903,"tensor(0.4291, device='cuda:0', dtype=torch.float64)",0.4942,12
1.204809774169922,1.3704992713928223,"tensor(0.4443, device='cuda:0', dtype=torch.float64)",0.5039,13
1.197439875793457,1.3488089641571044,"tensor(0.4483, device='cuda:0', dtype=torch.float64)",0.4985,14
1.180106374359131,1.3373682537078857,"tensor(0.4569, device='cuda:0', dtype=torch.float64)",0.5141,15
1.171142689819336,1.327014019012451,"tensor(0.4640, device='cuda:0', dtype=torch.float64)",0.5162,16
1.1589161485290527,1.3197446704864502,"tensor(0.4672, device='cuda:0', dtype=torch.float64)",0.5134,17
1.1493795793151855,1.296410577583313,"tensor(0.4770, device='cuda:0', dtype=torch.float64)",0.5209,18
1.1349134353637695,1.2981356927871703,"tensor(0.4807, device='cuda:0', dtype=torch.float64)",0.5223,19
1.1250237852478027,1.273967406463623,"tensor(0.4894, device='cuda:0', dtype=torch.float64)",0.5386,20
1.1227365995788574,1.254988665008545,"tensor(0.4901, device='cuda:0', dtype=torch.float64)",0.5433,21
1.1134846614074707,1.253680256843567,"tensor(0.4957, device='cuda:0', dtype=torch.float64)",0.5442,22
1.1063463537597655,1.2450706531524658,"tensor(0.5017, device='cuda:0', dtype=torch.float64)",0.5526,23
1.096048339691162,1.2461137510299682,"tensor(0.5074, device='cuda:0', dtype=torch.float64)",0.542,24
1.0882398915100098,1.228547393798828,"tensor(0.5120, device='cuda:0', dtype=torch.float64)",0.5498,25
1.0871638353729247,1.2216702060699463,"tensor(0.5141, device='cuda:0', dtype=torch.float64)",0.5568,26
1.0778733238220215,1.2148771324157714,"tensor(0.5157, device='cuda:0', dtype=torch.float64)",0.5601,27
1.0610241481018066,1.209143207359314,"tensor(0.5251, device='cuda:0', dtype=torch.float64)",0.5576,28
1.0642204090118408,1.2021375849723817,"tensor(0.5247, device='cuda:0', dtype=torch.float64)",0.5663,29
1.0613492291259765,1.1891024438858033,"tensor(0.5252, device='cuda:0', dtype=torch.float64)",0.5732,30
1.04883418510437,1.1932213060379029,"tensor(0.5359, device='cuda:0', dtype=torch.float64)",0.5686,31
1.048705672454834,1.1840225479125976,"tensor(0.5360, device='cuda:0', dtype=torch.float64)",0.5762,32
1.0448065866088867,1.1811600487709046,"tensor(0.5377, device='cuda:0', dtype=torch.float64)",0.576,33
1.0380262263488769,1.1580665426254273,"tensor(0.5427, device='cuda:0', dtype=torch.float64)",0.5834,34
1.0322539846038818,1.1535010160446166,"tensor(0.5439, device='cuda:0', dtype=torch.float64)",0.5846,35
1.0290552355957032,1.1614256635665894,"tensor(0.5470, device='cuda:0', dtype=torch.float64)",0.5813,36
1.0239419217681884,1.1459704874038696,"tensor(0.5482, device='cuda:0', dtype=torch.float64)",0.5877,37
1.0129092838287352,1.1441597652435302,"tensor(0.5543, device='cuda:0', dtype=torch.float64)",0.5881,38
1.0100343433380128,1.1394239017486572,"tensor(0.5558, device='cuda:0', dtype=torch.float64)",0.5929,39
1.0083597072601318,1.1393056985855103,"tensor(0.5588, device='cuda:0', dtype=torch.float64)",0.5974,40
1.0034629013061522,1.1243343078613282,"tensor(0.5587, device='cuda:0', dtype=torch.float64)",0.5997,41
0.9999935272216797,1.1204569828033448,"tensor(0.5615, device='cuda:0', dtype=torch.float64)",0.5928,42
0.9938336644744873,1.115401148891449,"tensor(0.5645, device='cuda:0', dtype=torch.float64)",0.6025,43
0.9896691059112549,1.1075929668426514,"tensor(0.5679, device='cuda:0', dtype=torch.float64)",0.6047,44
0.9864387345123291,1.1211563426971436,"tensor(0.5648, device='cuda:0', dtype=torch.float64)",0.6044,45
0.9830373445892334,1.1008723791122437,"tensor(0.5703, device='cuda:0', dtype=torch.float64)",0.607,46
0.9754705570983887,1.1062710891723633,"tensor(0.5733, device='cuda:0', dtype=torch.float64)",0.6066,47
0.9736990748596192,1.1102513253211974,"tensor(0.5768, device='cuda:0', dtype=torch.float64)",0.6054,48
0.9746767652130127,1.1000868467330933,"tensor(0.5782, device='cuda:0', dtype=torch.float64)",0.6023,49
0.9689206590270996,1.0912406061172486,"tensor(0.5809, device='cuda:0', dtype=torch.float64)",0.6081,50
0.9637531095123291,1.085216739845276,"tensor(0.5834, device='cuda:0', dtype=torch.float64)",0.616,51
0.9638095640563965,1.0722830007553101,"tensor(0.5809, device='cuda:0', dtype=torch.float64)",0.6164,52
0.964469822921753,1.0806354179382325,"tensor(0.5827, device='cuda:0', dtype=torch.float64)",0.619,53
0.9569355077362061,1.069926559448242,"tensor(0.5872, device='cuda:0', dtype=torch.float64)",0.6159,54
0.9568890119171143,1.0792854585647582,"tensor(0.5855, device='cuda:0', dtype=torch.float64)",0.6138,55
0.9539152529907227,1.0828955869674683,"tensor(0.5894, device='cuda:0', dtype=torch.float64)",0.6138,56
0.9453046957397461,1.0490070351600647,"tensor(0.5896, device='cuda:0', dtype=torch.float64)",0.6239,57
0.949497015838623,1.0633779737472535,"tensor(0.5912, device='cuda:0', dtype=torch.float64)",0.6271,58
0.9454243216705323,1.0453694650650025,"tensor(0.5911, device='cuda:0', dtype=torch.float64)",0.627,59
0.9412910941314697,1.0572881626129151,"tensor(0.5927, device='cuda:0', dtype=torch.float64)",0.6193,60
0.9408333699035645,1.0568837949752807,"tensor(0.5950, device='cuda:0', dtype=torch.float64)",0.6263,61
0.9388134149932862,1.0439301717758178,"tensor(0.5976, device='cuda:0', dtype=torch.float64)",0.6276,62
0.9367115866851806,1.0481026068687438,"tensor(0.5958, device='cuda:0', dtype=torch.float64)",0.6254,63
0.9276418905639648,1.0468970588684081,"tensor(0.5997, device='cuda:0', dtype=torch.float64)",0.628,64
0.9300990811157227,1.0339162123680115,"tensor(0.6010, device='cuda:0', dtype=torch.float64)",0.634,65
0.9273525225830078,1.0251638072967528,"tensor(0.6045, device='cuda:0', dtype=torch.float64)",0.6279,66
0.9210472702026368,1.0427118598937988,"tensor(0.6051, device='cuda:0', dtype=torch.float64)",0.6256,67
0.9207164780426026,1.0356740997314453,"tensor(0.6029, device='cuda:0', dtype=torch.float64)",0.6321,68
0.9214547708129883,1.0224051493644715,"tensor(0.6061, device='cuda:0', dtype=torch.float64)",0.6321,69
0.9169392867279053,1.0288870860099792,"tensor(0.6076, device='cuda:0', dtype=torch.float64)",0.6358,70
0.9171372438049317,1.0332677797317504,"tensor(0.6076, device='cuda:0', dtype=torch.float64)",0.634,71
0.9105042663574219,1.014303725337982,"tensor(0.6065, device='cuda:0', dtype=torch.float64)",0.6402,72
0.9151047396850586,1.020196677017212,"tensor(0.6070, device='cuda:0', dtype=torch.float64)",0.6353,73
0.9162437329864502,1.0159046926498414,"tensor(0.6101, device='cuda:0', dtype=torch.float64)",0.6425,74
0.9092019440460205,1.0129849880218507,"tensor(0.6090, device='cuda:0', dtype=torch.float64)",0.6405,75
0.9045409366607666,1.029603946208954,"tensor(0.6124, device='cuda:0', dtype=torch.float64)",0.6367,76
0.90311225440979,1.0102625440597535,"tensor(0.6103, device='cuda:0', dtype=torch.float64)",0.6418,77
0.9015654317474365,1.0121946393966674,"tensor(0.6120, device='cuda:0', dtype=torch.float64)",0.6348,78
0.898719910736084,1.0203012073516846,"tensor(0.6166, device='cuda:0', dtype=torch.float64)",0.6365,79
0.9032238842773438,1.0035796421051026,"tensor(0.6129, device='cuda:0', dtype=torch.float64)",0.6409,80
0.8983092881774902,1.0170962938308716,"tensor(0.6157, device='cuda:0', dtype=torch.float64)",0.6361,81
0.8976493837738038,1.0345256553649902,"tensor(0.6159, device='cuda:0', dtype=torch.float64)",0.6327,82
0.8983749799346924,0.9952542504310607,"tensor(0.6188, device='cuda:0', dtype=torch.float64)",0.643,83
0.8922251837158203,1.0040724917411805,"tensor(0.6176, device='cuda:0', dtype=torch.float64)",0.6481,84
0.8919781901550293,1.0073823333740235,"tensor(0.6180, device='cuda:0', dtype=torch.float64)",0.6395,85
0.888413642578125,0.9990526115417481,"tensor(0.6208, device='cuda:0', dtype=torch.float64)",0.6425,86
0.8954341348266601,0.9989361722946167,"tensor(0.6191, device='cuda:0', dtype=torch.float64)",0.6374,87
0.8847128628540039,0.9890501175880432,"tensor(0.6232, device='cuda:0', dtype=torch.float64)",0.6474,88
0.8888202104187012,0.9964686210632324,"tensor(0.6220, device='cuda:0', dtype=torch.float64)",0.6458,89
0.8838897082519531,1.0014390863418579,"tensor(0.6218, device='cuda:0', dtype=torch.float64)",0.6453,90
0.8859610780334473,0.9949968235015869,"tensor(0.6218, device='cuda:0', dtype=torch.float64)",0.6507,91
0.8820366000366211,1.0043517724990845,"tensor(0.6228, device='cuda:0', dtype=torch.float64)",0.6403,92
0.8802538353729248,0.9923332925796509,"tensor(0.6268, device='cuda:0', dtype=torch.float64)",0.6495,93
0.879430683517456,0.9888703388214112,"tensor(0.6251, device='cuda:0', dtype=torch.float64)",0.6493,94
0.8754987982177734,0.9915498659133911,"tensor(0.6268, device='cuda:0', dtype=torch.float64)",0.6553,95
0.8785577207946778,0.9822644620895385,"tensor(0.6237, device='cuda:0', dtype=torch.float64)",0.6485,96
0.8740359687805176,0.9864043730735779,"tensor(0.6269, device='cuda:0', dtype=torch.float64)",0.6553,97
0.8747022644042969,0.9709065660476685,"tensor(0.6275, device='cuda:0', dtype=torch.float64)",0.6566,98
0.8698630987548828,0.973123223209381,"tensor(0.6319, device='cuda:0', dtype=torch.float64)",0.6507,99
0.8755715473175049,0.972652603149414,"tensor(0.6305, device='cuda:0', dtype=torch.float64)",0.6506,100
0.8706919100952148,0.979458316230774,"tensor(0.6280, device='cuda:0', dtype=torch.float64)",0.6532,101
0.8693238973236084,0.9765871277809143,"tensor(0.6284, device='cuda:0', dtype=torch.float64)",0.6518,102
