train_loss,valid_loss,train_accuracy,valid_accuracy,epoch
1.843840036315918,2.3048293788909913,"tensor(0.1005, device='cuda:0', dtype=torch.float64)",0.0978,1
1.8433088522338867,2.3042150985717775,"tensor(0.1005, device='cuda:0', dtype=torch.float64)",0.0978,2
1.842802173461914,2.303582372665405,"tensor(0.1006, device='cuda:0', dtype=torch.float64)",0.0978,3
1.8423345108032227,2.3030189697265624,"tensor(0.1006, device='cuda:0', dtype=torch.float64)",0.0978,4
1.8419418395996094,2.302527640914917,"tensor(0.1007, device='cuda:0', dtype=torch.float64)",0.0981,5
1.841574716796875,2.3021195320129393,"tensor(0.1006, device='cuda:0', dtype=torch.float64)",0.0986,6
1.841238882446289,2.3016924320220946,"tensor(0.1010, device='cuda:0', dtype=torch.float64)",0.0992,7
1.8408893670654296,2.3012813720703127,"tensor(0.1032, device='cuda:0', dtype=torch.float64)",0.1018,8
1.8405853820800782,2.3008394264221192,"tensor(0.1047, device='cuda:0', dtype=torch.float64)",0.1048,9
1.840265246887207,2.300440855407715,"tensor(0.1080, device='cuda:0', dtype=torch.float64)",0.1096,10
1.8399389233398438,2.3000671516418456,"tensor(0.1159, device='cuda:0', dtype=torch.float64)",0.1147,11
1.8395813125610352,2.2996283378601072,"tensor(0.1221, device='cuda:0', dtype=torch.float64)",0.1195,12
1.8392361380004882,2.2991625820159913,"tensor(0.1249, device='cuda:0', dtype=torch.float64)",0.1254,13
1.8388656631469726,2.298710696411133,"tensor(0.1298, device='cuda:0', dtype=torch.float64)",0.1296,14
1.8384503402709962,2.2981852199554442,"tensor(0.1342, device='cuda:0', dtype=torch.float64)",0.1337,15
1.8380061529541016,2.2975499031066895,"tensor(0.1387, device='cuda:0', dtype=torch.float64)",0.1381,16
1.8374960571289063,2.2968713790893553,"tensor(0.1406, device='cuda:0', dtype=torch.float64)",0.1389,17
1.836889237060547,2.296083695602417,"tensor(0.1408, device='cuda:0', dtype=torch.float64)",0.1394,18
1.8361950985717774,2.2951259189605713,"tensor(0.1416, device='cuda:0', dtype=torch.float64)",0.1395,19
1.8353845162963867,2.2940248180389404,"tensor(0.1410, device='cuda:0', dtype=torch.float64)",0.1392,20
1.8344378579711913,2.292759047317505,"tensor(0.1412, device='cuda:0', dtype=torch.float64)",0.1397,21
1.8334153131103517,2.2913825241088865,"tensor(0.1417, device='cuda:0', dtype=torch.float64)",0.1411,22
1.8321954330444337,2.2897455913543703,"tensor(0.1424, device='cuda:0', dtype=torch.float64)",0.1449,23
1.8308020394897462,2.2878273849487303,"tensor(0.1484, device='cuda:0', dtype=torch.float64)",0.147,24
1.8290667279052735,2.285469821548462,"tensor(0.1529, device='cuda:0', dtype=torch.float64)",0.1541,25
1.8270345169067383,2.2826153732299805,"tensor(0.1627, device='cuda:0', dtype=torch.float64)",0.1658,26
1.8244110034179688,2.279022328567505,"tensor(0.1686, device='cuda:0', dtype=torch.float64)",0.1789,27
1.8211528924560547,2.2743642459869386,"tensor(0.1795, device='cuda:0', dtype=torch.float64)",0.1833,28
1.8169948141479493,2.268737615966797,"tensor(0.1861, device='cuda:0', dtype=torch.float64)",0.1869,29
1.8117588375854492,2.261147435760498,"tensor(0.1935, device='cuda:0', dtype=torch.float64)",0.1883,30
1.8049493048095704,2.2513672534942626,"tensor(0.1953, device='cuda:0', dtype=torch.float64)",0.1916,31
1.7960491931152345,2.2389464569091797,"tensor(0.1967, device='cuda:0', dtype=torch.float64)",0.1958,32
1.7847489617919923,2.222883073425293,"tensor(0.1968, device='cuda:0', dtype=torch.float64)",0.1935,33
1.7704244692993165,2.202802293395996,"tensor(0.1977, device='cuda:0', dtype=torch.float64)",0.1966,34
1.753246564025879,2.179385537338257,"tensor(0.1989, device='cuda:0', dtype=torch.float64)",0.1973,35
1.734470594482422,2.155887040710449,"tensor(0.2012, device='cuda:0', dtype=torch.float64)",0.202,36
1.7172685458374024,2.1357112255096435,"tensor(0.2080, device='cuda:0', dtype=torch.float64)",0.2093,37
1.7010726635742188,2.1177506061553957,"tensor(0.2182, device='cuda:0', dtype=torch.float64)",0.2258,38
1.6890850741577148,2.1011465133666993,"tensor(0.2293, device='cuda:0', dtype=torch.float64)",0.236,39
1.6780023561096191,2.088072034072876,"tensor(0.2397, device='cuda:0', dtype=torch.float64)",0.2449,40
1.6666383059692382,2.072444525909424,"tensor(0.2464, device='cuda:0', dtype=torch.float64)",0.2477,41
1.655715247039795,2.060651683807373,"tensor(0.2516, device='cuda:0', dtype=torch.float64)",0.2545,42
1.6450844288635253,2.0467108631134034,"tensor(0.2563, device='cuda:0', dtype=torch.float64)",0.2598,43
1.6341813204956055,2.033120975112915,"tensor(0.2591, device='cuda:0', dtype=torch.float64)",0.266,44
1.6227200286865235,2.021279332733154,"tensor(0.2639, device='cuda:0', dtype=torch.float64)",0.269,45
1.6124829791259765,2.006119711303711,"tensor(0.2685, device='cuda:0', dtype=torch.float64)",0.2741,46
1.6008365896606445,1.9920854446411134,"tensor(0.2718, device='cuda:0', dtype=torch.float64)",0.2813,47
1.588694058532715,1.9781191501617432,"tensor(0.2782, device='cuda:0', dtype=torch.float64)",0.2822,48
1.579296303100586,1.9628833740234375,"tensor(0.2814, device='cuda:0', dtype=torch.float64)",0.2893,49
1.5685069802856446,1.9511915426254272,"tensor(0.2874, device='cuda:0', dtype=torch.float64)",0.2939,50
1.5580605125427247,1.9395698175430298,"tensor(0.2917, device='cuda:0', dtype=torch.float64)",0.3019,51
1.5480754385375977,1.9259052213668824,"tensor(0.2962, device='cuda:0', dtype=torch.float64)",0.3028,52
1.5403447007751465,1.9173850820541383,"tensor(0.3007, device='cuda:0', dtype=torch.float64)",0.3042,53
1.5310110459899902,1.905659278869629,"tensor(0.3042, device='cuda:0', dtype=torch.float64)",0.3057,54
1.5227700497436523,1.8997043537139893,"tensor(0.3104, device='cuda:0', dtype=torch.float64)",0.3065,55
1.5151686557006836,1.8889525718688964,"tensor(0.3133, device='cuda:0', dtype=torch.float64)",0.3175,56
1.5091128465270995,1.8823714551925659,"tensor(0.3166, device='cuda:0', dtype=torch.float64)",0.3145,57
1.502609066619873,1.872278059387207,"tensor(0.3166, device='cuda:0', dtype=torch.float64)",0.3251,58
1.496096188659668,1.866556708908081,"tensor(0.3238, device='cuda:0', dtype=torch.float64)",0.3244,59
1.489909338531494,1.8573558078765868,"tensor(0.3229, device='cuda:0', dtype=torch.float64)",0.3263,60
1.4824348080444336,1.8500511512756348,"tensor(0.3274, device='cuda:0', dtype=torch.float64)",0.3269,61
1.4758160098266602,1.8386621870040893,"tensor(0.3295, device='cuda:0', dtype=torch.float64)",0.3348,62
1.468381259765625,1.8334572082519531,"tensor(0.3360, device='cuda:0', dtype=torch.float64)",0.3313,63
1.4622790452575685,1.8273646800994874,"tensor(0.3379, device='cuda:0', dtype=torch.float64)",0.3356,64
1.4562731275939942,1.8234468339920045,"tensor(0.3402, device='cuda:0', dtype=torch.float64)",0.3375,65
1.4498222840881347,1.8122060577392578,"tensor(0.3404, device='cuda:0', dtype=torch.float64)",0.3464,66
1.443455739440918,1.8091197185516357,"tensor(0.3443, device='cuda:0', dtype=torch.float64)",0.3421,67
1.4378656379699708,1.797926450920105,"tensor(0.3467, device='cuda:0', dtype=torch.float64)",0.3454,68
1.4304982847595216,1.7862923736572265,"tensor(0.3484, device='cuda:0', dtype=torch.float64)",0.3487,69
1.4242443237304687,1.7791180770874024,"tensor(0.3534, device='cuda:0', dtype=torch.float64)",0.3499,70
